make,model,year,vin,price
Isuzu,Oasis,1999,3N1CN7AP4EL843215,$3856.24
Lotus,Evora,2010,WAUJT64B14N568855,$8963.10
Holden,VS Commodore,1997,1J4PN2GK4BW596369,$3519.78
Suzuki,Equator,2010,5N1AZ2MG6FN376240,$4959.46
Mazda,RX-8,2007,2HNYD18644H170976,$3589.17
Hyundai,Veracruz,2010,2C3CDXJGXDH365149,$7587.31
Maserati,430,1991,1C3BCBFG1DN281982,$534.40
Kia,Sportage,1996,WAUWFAFH2DN852187,$9095.17
Ford,Mustang,2010,SCFAB22371K354073,$4388.81
Mercury,Villager,1996,1G6KY54941U783036,$5094.95
BMW,8 Series,1996,JM1DE1KY8C0663591,$6271.42
Saturn,VUE,2002,1D7CE5GK4AS911186,$5911.24
Mazda,B-Series,2003,3N1CN7AP3DL397444,$7501.08
Buick,Regal,1993,JTHBE1BL0FA900177,$9697.70
Jeep,Patriot,2007,TRUSC28N941922865,$7476.12
Chevrolet,G-Series G10,1995,5N1AN0NW1EN223611,$3572.59
Volvo,C70,2001,WBA3C3G56FN315434,$6217.79
Audi,A3,2012,3HGGK5G59FM268981,$6641.48
Lincoln,Navigator,2004,WBADN53412G114353,$1778.98
Ford,E150,1984,WAUAH68D91A083458,$5547.81
Geo,Metro,1997,3D73M4EL2AG182069,$878.96
Chevrolet,G-Series G10,1994,WA1VFAFL5EA905728,$4168.83
Toyota,Yaris,2011,WUARU98E57N713668,$3756.28
Volkswagen,Golf,2011,WVGAV3AX3DW376628,$9183.41
Audi,90,1991,KL4CJESB9DB962680,$6765.64
Ford,Country,1967,1G4HR54K644948723,$837.05
Pontiac,Firebird,1998,JM1NC2MF0D0047820,$1032.89
Chevrolet,Monte Carlo,2002,1VWAH7A39EC969409,$5095.26
Alfa Romeo,Spider,1993,WAUBFAFL2BA664941,$6750.81
Nissan,Titan,2012,1GYEE23A790946224,$4774.17
Chevrolet,Avalanche 2500,2003,19XFB2F52EE159457,$6890.27
Aston Martin,Vantage,2006,5FRYD3H91GB414670,$3764.33
Ford,F-Series,1987,1N6AD0CU1CC944901,$8146.22
Honda,Accord,1998,KL4CJDSB7EB486571,$9882.58
Tesla,Model S,2012,19XFB2F57DE995263,$2263.10
Nissan,Maxima,2003,5GAKVCKD7DJ349766,$8665.67
Volkswagen,Jetta,1985,1FMHK7B86BG888023,$8105.94
Bentley,Continental,2007,JTHBL1EF1E5358445,$7564.58
Infiniti,G37,2012,2G4WE587271152785,$1454.37
Mazda,RX-7,1984,1G6KD57928U786342,$2845.02
Chevrolet,Venture,2004,4T1BD1EB3EU896917,$2649.50
Mitsubishi,Outlander,2003,1N6AD0CU3FN401980,$8991.19
Chrysler,LHS,1997,1GKS1AE0XER064252,$1063.41
Nissan,Quest,2011,1G6AT5S36E0203520,$5665.31
Ford,Taurus,1995,3GYFNEEY7AS840725,$7393.70
Toyota,Xtra,1995,1G6AS5S38F0706972,$4572.87
Cadillac,Escalade EXT,2011,1C3BCBFG1EN256727,$4753.12
Acura,TL,2011,1G6DJ8EG1A0662810,$1887.72
Plymouth,Grand Voyager,1998,WBAYP5C54ED603047,$8901.71
Ford,Mustang,1972,KMHD35LH0FU938357,$8826.48
Suzuki,Daewoo Lacetti,2004,WAUUFAFH0AN901518,$1346.65
Plymouth,Colt Vista,1994,4T1BF3EKXAU028364,$6874.41
Subaru,Outback,2001,WA1LMBFE8ED942825,$9527.69
Chevrolet,Avalanche,2008,WBAAV53481F597623,$1085.42
Chevrolet,Cavalier,2001,WDDGF4HB6DG151633,$3784.80
Buick,Regal,1995,5UXFG8C50EL058870,$8204.60
Toyota,Corolla,1999,2C3CCASG6DH428424,$7974.41
Saturn,L-Series,2002,WBAEW53445P360481,$9936.28
Dodge,Ram Van 3500,1996,2G4GL5EX5F9768043,$6560.23
Volkswagen,Rabbit,2008,SCFBB03B98G210973,$2391.90
Acura,Integra,1995,2G61M5S37F9675522,$6143.30
Mercedes-Benz,C-Class,1993,WAUBVBFB8BN937518,$5513.15
Ford,Crown Victoria,1999,4A31K5DF4BE593021,$9080.24
Acura,RL,2009,2T1KU4EE6DC252792,$8574.34
Hyundai,Santa Fe,2010,WVWGU7AN7AE093271,$2824.32
Mitsubishi,Outlander Sport,2012,JTDBT4K33CL116701,$2689.46
Ford,Econoline E150,1997,1GYFK43838R019804,$5910.77
GMC,Envoy,2002,WAUNF98P57A143084,$7726.78
Pontiac,Firefly,1988,VNKKTUD38FA131893,$7918.34
Mitsubishi,Lancer Evolution,2008,WAUVT68E04A745926,$732.91
Chrysler,Sebring,2009,1FTNF2A59AE860717,$6382.69
Buick,Roadmaster,1995,1GD021EG2FZ331734,$8151.47
GMC,Sierra 2500,2011,3N1AB7AP7FY616718,$9162.67
Nissan,Sentra,2008,3VW4A7AT4CM713269,$9406.68
Audi,Allroad,2002,1C4PJLAB3EW919363,$8469.06
Isuzu,Rodeo,1993,1G6YX36D285526268,$2107.57
Volkswagen,GLI,2008,1J4PN2GK9AW966018,$9893.12
Toyota,Prius,2005,SCFBF04BX8G656360,$1269.68
Dodge,Ram 3500,2004,1G6DH5E53D0937882,$8472.20
BMW,X6,2010,2G61N5S34F9675149,$770.12
Lexus,SC,1995,5UXZV8C59D0279631,$9294.99
Lincoln,MKT,2011,WAUAF68E85A012787,$7137.68
Audi,A6,2010,1G6DX6ED6B0234192,$6791.62
GMC,Sierra 3500,2006,1G4GD5ER0CF862476,$1116.69
Mercury,Mountaineer,1998,1D4PU5GK2BW548592,$876.48
GMC,Savana 3500,2011,1FTWX3D58AE743911,$9681.56
Saab,9-3,2006,1FAHP3EN4AW237308,$9567.15
Volkswagen,Golf,2012,WA1BY74L37D125652,$5040.73
Dodge,Ram 2500,1999,2B3CL5CT1BH106836,$6981.62
Toyota,Paseo,1995,5YMGZ0C56AL100252,$4093.33
Chevrolet,Cobalt SS,2009,1C4NJCBA9FD218823,$7726.68
Pontiac,Montana,2000,3VWKX7AJ6CM753356,$3441.75
Lexus,RX,2005,WAUVC68E35A494126,$6665.52
BMW,X5,2010,2C4RDGBG1CR531362,$8256.05
GMC,Jimmy,2001,SAJWA4DC1CM111061,$8827.98
Mitsubishi,GTO,1999,3N1CN7AP3EL807113,$8709.46
Geo,Tracker,1996,WAUNF98P68A637116,$3750.29
GMC,Yukon XL 1500,2012,WA1VMAFE4FD001098,$8123.47
Chevrolet,Corvette,1957,WA1CGAFP2FA956791,$2286.75
Toyota,Tacoma,2011,19UUA65564A444071,$6871.76
Ford,F150,2011,2FMGK5BC9BB479235,$2324.84
Porsche,968,1993,ZHWGU5BZ3DL629551,$6099.80
Volvo,S40,2000,1N6AF0LY1FN066814,$5791.13
Scion,xB,2011,WBANB33534B618266,$1960.47
Suzuki,Equator,2010,WBAEV53443K536104,$8253.12
Ford,F350,2000,JN8AF5MR4BT034974,$3933.44
Chevrolet,Traverse,2010,3D73Y4HLXBG839492,$2037.19
Lamborghini,Countach,1990,WAUEH98E47A759660,$8623.98
Dodge,Ram 1500,1998,WAUVKAFR6AA414386,$7700.53
Chevrolet,Classic,2005,WBAFU7C58BD017524,$9040.92
Mazda,B-Series,1988,SCBGU3ZA3DC562921,$8433.22
Chrysler,Concorde,1997,1G6DM5E34D0605444,$6583.26
Suzuki,Swift,1997,SCFFBCBD7AG215021,$9212.28
Dodge,Ram,2011,WBAKF3C55BE976214,$4603.81
Mercury,Grand Marquis,1993,WP0AA2A89FK985137,$3891.50
Hyundai,Azera,2011,KNDPB3AC6F7897280,$790.25
Mazda,B-Series,2005,JN8AZ1MU7CW341513,$7945.74
Aston Martin,V12 Vantage,2011,WAUBH78E67A248300,$5611.72
Volkswagen,New Beetle,2008,1C6RD6FPXCS931916,$3119.53
Land Rover,Range Rover,2008,WBAGN63442D796407,$2185.12
Volkswagen,Jetta,2007,JN1AZ4EH9BM414683,$6376.10
Scion,xB,2010,1G6AF5SX3D0732268,$9025.36
Ford,Expedition,2002,3GYFNKE68BS024850,$1794.72
Suzuki,SJ,1990,2G4GY5GVXB9743002,$7635.30
Chevrolet,Classic,2005,WBAPT7C58AC588491,$1571.27
Volvo,S60,2001,4T1BF1FK8CU397164,$1886.33
Honda,Odyssey,2005,3GYFNJE45AS475631,$2112.90
Oldsmobile,Aurora,1996,1G6AB5SA8F0692487,$7884.92
Maserati,Quattroporte,2012,WAUDGAFL1BA130707,$576.83
Cadillac,Eldorado,1999,5XXGM4A72EG179296,$7643.54
Lotus,Elise,2005,3C4PDCGB9FT452892,$4270.93
BMW,3 Series,1996,SAJWA4HA8EM189364,$4560.27
BMW,525,2006,2T1BURHE7EC042048,$9929.39
Volvo,850,1993,1G6KE57Y73U729812,$1580.26
Mercedes-Benz,G-Class,2005,JA4AS2AW6AZ024646,$5339.91
Kia,Sedona,2006,WA1BV94L47D115863,$2064.17
Oldsmobile,Aurora,2002,1G4HP54K52U757247,$4929.55
Bentley,Continental GT,2008,SALFR2BN9CH036353,$6717.98
Bentley,Continental GT,2006,WBSBL93494P049416,$9786.44
Chevrolet,Cobalt SS,2007,WA1WGAFP5EA384126,$8762.18
Infiniti,QX56,2010,1G4HD5EMXAU670810,$3503.04
Toyota,Paseo,1996,JN1CV6AP1CM068045,$5729.63
Subaru,Loyale,1991,WVGAV7AX5CW850908,$8108.60
Chevrolet,Corvette,2001,WAUHFAFL9AN110636,$3257.40
Mercury,Villager,2000,1D4PT4GK2AW324864,$2039.68
GMC,Sierra 3500,2005,WAUUL78E67A376737,$6800.23
GMC,2500,1992,1G6AB5S32D0929991,$1572.79
Porsche,Panamera,2013,1G6AR5S39E0196495,$3071.75
Jaguar,XJ Series,1997,1FTKR1AD2BP546019,$3203.76
Ford,Ranger,2005,2T1BURHE7FC318519,$2246.75
Chevrolet,Beretta,1996,19UUA9F22EA728532,$5617.14
Mazda,MX-6,1995,KMHHT6KD6BU088427,$2797.13
Scion,iQ,2012,2C3CDXHG3EH833391,$5860.27
Ford,Windstar,1997,5FRYD4H49GB982952,$4404.50
Lincoln,MKT,2012,WBAVA33517P231208,$4429.80
Hyundai,Elantra,1997,2G4WF551221492590,$558.76
Toyota,Celica,2003,2G4GV5GV8C9696885,$1792.75
GMC,Envoy XUV,2004,3D7TT2CTXBG159070,$5481.05
Cadillac,STS,2010,5TDBW5G18DS868687,$5752.28
Mazda,626,1983,1D7RW3GK0BS644285,$2781.98
Mercury,Mariner,2008,3C63DRNL0CG503060,$4006.22
Isuzu,Amigo,1992,1FMCU0D76AK555123,$2883.96
Pontiac,Grand Prix,1995,1C4PJLAK6CW877199,$1096.46
Mazda,MX-6,1991,WA1BV74L27D807060,$4966.88
Chevrolet,Avalanche,2007,5NPE24AFXFH705765,$2921.07
Oldsmobile,Cutlass Supreme,1995,1G6YX36D485074033,$753.36
Saturn,Outlook,2007,WAUVC68E55A968464,$2141.38
Lamborghini,Aventador,2012,WAUXF78K49A318137,$6038.47
Chevrolet,Venture,2001,WBAEN33494P907301,$1757.00
Ford,F250,2003,1GYS4FEJ2BR109893,$9359.85
Honda,Accord,1986,WA1CYBFE9AD074414,$8232.00
Acura,SLX,1997,WDBWK5EA0AF083526,$2602.71
Rolls-Royce,Phantom,2008,5UXWX9C52E0599958,$7237.94
Mercedes-Benz,E-Class,2002,WA19FAFL4DA905431,$4741.32
Chevrolet,Astro,1996,SAJWA0HPXEM251375,$9554.22
Dodge,Ram 2500,2004,3D7JB1EKXAG854107,$3507.41
Infiniti,J,1996,1FTEX1CM2BF489617,$3903.92
Hyundai,Sonata,2006,19XFB2E56DE841600,$2261.87
Chevrolet,Tahoe,2012,WP1AA2A23CL502125,$6893.09
Mercury,Mountaineer,2004,SAJWA4FB2DL354065,$6822.38
Mitsubishi,Diamante,1992,WBAWC73559E069345,$4107.24
Nissan,Frontier,2009,1GKS1HE02DR089105,$9558.34
GMC,3500 Club Coupe,1993,YV1852AR2A1839196,$6583.38
Audi,S4,2002,JTHBK1GG8D1955106,$6733.37
Honda,Prelude,1997,WDCYC3HF8EX982096,$5775.78
Ford,F-Series,2009,WAUKG74F76N496287,$3800.52
Nissan,Xterra,2001,WAUKF78E95A254689,$1731.38
BMW,6 Series,2005,3FAHP0DC3BR807074,$8068.75
Hummer,H2,2008,JN8AE2KP2E9742032,$2718.29
Mercedes-Benz,300E,1992,3C4PDDBG6DT031556,$1917.65
Lexus,SC,2000,1GT3CZBG3AF218807,$4889.87
Chevrolet,Corvette,1965,WBAYE4C50ED929105,$744.13
Dodge,Grand Caravan,2001,KL4CJESB8DB431650,$3387.79
Chevrolet,G-Series G20,1993,5N1AR2MM3FC822541,$6647.12
Mazda,MX-5,2011,WAUDF98E47A414310,$5955.54
Infiniti,EX,2008,19UUA56791A201876,$8210.87
Smart,Fortwo,2011,2HNYD18763H467108,$3028.35
Bentley,Mulsanne,2011,1G6DK5ED4B0088593,$9935.13
GMC,Sierra 1500,2005,SCFAB22343K857112,$6085.40
Saturn,VUE,2008,TRUXD38J691250115,$7809.20
Chevrolet,Lumina,1995,1YVHZ8BA4A5848944,$5418.06
GMC,Yukon XL 2500,2010,JHMZF1C66FS122465,$8076.16
Toyota,Highlander,2012,WBANB53506C520157,$5936.70
Oldsmobile,Aurora,1995,3N1AB7AP3FL074966,$9464.54
Hyundai,Veloster,2013,WBALZ5C57CC038106,$3428.57
Buick,Century,1984,WBA6B8C56ED205376,$5810.63
Lincoln,Town Car,2005,JTHFF2C23F2503695,$9139.01
Mitsubishi,Pajero,1993,2C3CDYCJ9CH365320,$4026.22
Lexus,RX,2006,JHMFA3F28BS890030,$7422.52
Honda,Civic GX,2003,JN8AE2KPXE9797523,$5540.85
Dodge,Neon,2002,1GYFK23289R653501,$9555.49
Porsche,911,1991,3C3CFFER7FT143162,$2076.75
Honda,Passport,2002,5UXWX9C56DL286781,$5531.19
Chevrolet,Traverse,2011,19VDE1F71DE216278,$2809.86
Mazda,929,1991,WA1KK98R39A044702,$2309.48
Nissan,Frontier,2007,5TFBY5F18DX207778,$8934.79
Oldsmobile,Bravada,1998,KNADM5A37E6731862,$2537.78
Pontiac,Grand Prix,1996,WAUWFAFL3CA531222,$1097.95
Volvo,S80,2000,JN8CS1MW6FM403482,$6298.39
Volvo,XC90,2012,JM1BL1K50B1190054,$5620.68
Volvo,740,1992,WVWAN7AN7EE195386,$4495.86
Acura,RL,2001,KNADH5A39A6451665,$6200.74
Honda,Prelude,1995,3D4PH9FG5BT291930,$4113.02
Audi,A6,1996,KMHTC6AD2DU701710,$8438.02
Land Rover,Range Rover,1988,JH4DC43571S105324,$8253.86
Jeep,Compass,2008,JH4NA21604T163137,$8041.38
Eagle,Summit,1995,1FMCU0D73AK128272,$1550.77
Toyota,Corolla,1998,1FTEW1C86AF618690,$5281.31
Honda,CR-Z,2011,JN8AS1MU3CM562980,$2871.19
Suzuki,Forenza,2006,JA32U2FU7FU505889,$2959.48
Lexus,GS,2011,1YVHZ8BH0B5386896,$4259.18
Mercedes-Benz,E-Class,2007,5FPYK1F5XEB117753,$7369.33
Jeep,Grand Cherokee,1996,WBADR63441G042640,$5451.21
BMW,5 Series,2012,WAUCVAFR1BA525668,$6304.22
Pontiac,GTO,1972,WVWED7AJ8BW822412,$6048.55
Ford,F150,2006,WDCGG0EB2FG361941,$671.14
Lotus,Esprit,1985,1GYEC63837R460836,$3539.59
Acura,RL,2008,WBA6A0C58DD487216,$3209.86
Mitsubishi,Mighty Max,1993,1G6DL8E35D0377233,$2085.81
Mercury,Cougar,1989,1GD312CG3DF984984,$4410.17
Audi,A6,2010,WA1FFCFSXFR063737,$3347.59
BMW,M3,2001,JTHCL5EF2F5683795,$872.02
Toyota,Xtra,1994,2T1KU4EE9BC599854,$2638.54
Chevrolet,Silverado 2500,2006,1GD02ZCG6EF407750,$8274.87
Audi,RS 4,2007,1N6AA0CJ5EN706183,$854.67
Jaguar,XJ,2008,WP1AA2A27CL347434,$2040.42
Pontiac,Tempest,1966,1ZVBP8JZ0E5009773,$6393.36
Volkswagen,Jetta,2012,2HNYD283X8H753442,$5784.26
Audi,Coupe GT,1986,4T1BK1EB2FU399350,$7962.60
Volkswagen,Cabriolet,1988,WAUEFAFL6EN787183,$1962.51
Honda,Element,2009,1N6AA0CC9CN957691,$8609.96
Chevrolet,Malibu,2005,1GD12ZCGXCF851022,$4113.80
Volkswagen,riolet,1992,JN8AF5MR1DT066803,$4528.97
Chrysler,300,2009,1G6YV36A585695857,$7179.00
BMW,7 Series,2003,1GTPCTEXXAZ416454,$5795.03
GMC,Sierra 1500,2013,3D7TT2CT3BG397651,$8635.98
Mitsubishi,Mirage,1991,JM1BL1H38A1907515,$8915.13
Ford,Mustang,2001,1G6DC5EG2A0711781,$1877.71
Mercury,Mountaineer,1997,WAUFFAFL5EN275645,$7231.52
Isuzu,Trooper,2001,WAUDF98E17A382058,$7395.23
Chrysler,300M,2000,WAUHFAFL9DA650774,$6343.17
Maserati,GranTurismo,2009,1D7CW3GK1AS397024,$3614.00
Plymouth,Colt,1992,1FTWX3A58AE039566,$4104.55
Suzuki,SJ,1994,SCFEBBBK3DG145686,$5088.21
Lexus,SC,1996,5TDBK3EH2DS629264,$3069.67
Dodge,Ram 1500,2006,ZFBCFABH3FZ708061,$9313.30
Dodge,Dakota Club,2004,1GD120EG9BF952608,$8138.15
Mazda,RX-8,2006,JN1BJ0HR5EM638661,$8202.44
Chevrolet,Venture,2001,1D7RE2GK0BS534849,$9134.68
BMW,525,2006,1G4GH5G38CF170639,$3346.39
Nissan,Murano,2012,YV1902MD8F1832487,$2699.29
Suzuki,Sidekick,1992,1FTEW1CW7AF146417,$723.96
Dodge,Ram 2500,2004,1C3BC2FBXBN006256,$7258.56
Chevrolet,Silverado 2500,2012,WAUCFAFR5AA300066,$9999.36
Pontiac,Firebird,1995,JN8AE2KP7F9615178,$8883.80
Mercedes-Benz,CLK-Class,2004,2LMHJ5AR8AB073286,$2749.13
Audi,4000CS Quattro,1986,WAUAFAFL5AA180241,$7293.67
Dodge,Ram Van 1500,2001,1FM5K7B84DG273024,$5798.73
Cadillac,XLR,2006,3VW467AT4DM894036,$9942.31
Dodge,Ram 3500,2007,WVGEF9BP6FD410088,$2652.78
Mazda,B-Series,1987,WBSWD93568P002552,$1027.84
Mazda,Mazda3,2011,JN8AZ2NC2B9380924,$1487.63
Volvo,S80,2003,WAUDK78T68A440987,$6344.72
Jeep,Commander,2007,19UUA66295A196050,$4477.38
Cadillac,Escalade ESV,2009,WDDLJ7GBXFA911603,$2745.24
Dodge,Ram 1500,2003,JN1CV6EK2CM577057,$1867.75
Dodge,Colt,1992,WAUGL68E65A543098,$7677.23
Ford,Mustang,2001,1G6DH8E37E0855655,$793.85
Pontiac,Parisienne,1986,WBA3V9C5XEP866262,$5934.06
Buick,Century,2004,3VW1K7AJ0DM645293,$7517.15
GMC,2500 Club Coupe,1997,WAUPEBFM0DA773716,$1267.01
BMW,6 Series,2008,4T3BA3BB1FU399110,$6439.51
Mazda,MX-5,2002,JTJYWRBZ3F2641686,$6528.89
Buick,Electra,1985,1FMJK1G55CE323983,$912.43
Volvo,C70,2010,2B3CJ5DTXAH693671,$8877.55
Subaru,Legacy,1993,5UXFB53575L547232,$4772.07
Ford,Econoline E250,1998,WBAKG1C50CJ892280,$7114.43
Lexus,ES,1997,SAJWA4EC2DM100411,$1809.24
Ford,GT500,2008,3C63D3FL5CG386023,$6954.44
Toyota,Highlander,2010,1B3CB3HA0AD502718,$1697.37
GMC,3500 Club Coupe,1993,WAUVVAFR4CA726670,$3274.51
Mazda,B-Series Plus,2000,WBALZ3C51CD292845,$3245.18
Ford,F-Series,2004,WAUKG98E96A891463,$594.06
GMC,Vandura 3500,1993,WBAVA33578K385050,$6979.58
BMW,6 Series,2007,5J6TF1H54DL897534,$7859.75
Kia,Optima,2012,1N6AA0CH9DN705131,$608.19
Nissan,Altima,1994,3N1CN7AP4FL831356,$5139.55
Volkswagen,Golf,1992,1G6AS5SX8E0036454,$6775.85
Ford,F250,2009,1FTEX1CM3DF168639,$6119.76
Pontiac,Bonneville,1995,2T3BF4DV7CW774864,$6714.92
BMW,Z4,2012,1G6AM1R35F0946893,$6403.46
Lexus,GS,1993,5GAKRAKD2FJ520144,$9373.55
Geo,Prizm,1997,3D7TP2CT4AG794899,$5435.15
Acura,Integra,1999,WAUDF48H68K451660,$2435.05
Lexus,LS,1994,3VWF17AT2FM780496,$9871.52
Mazda,CX-7,2012,W04GX5GV1B1130028,$9761.80
Isuzu,Ascender,2004,1FTEW1CF7FK230624,$4669.05
Toyota,Camry,1999,SCFFDCCD4CG804832,$6815.07
Lotus,Exige,2005,WBADT634X2C921893,$2635.95
Mitsubishi,3000GT,1993,1G4HR54K54U288335,$1566.01
Pontiac,Grand Prix,1973,5J8TB3H53FL083702,$2180.87
Infiniti,QX,2004,WA1VGBFP7EA916557,$5355.36
Porsche,911,1997,3N1AB6AP5CL410302,$9730.31
Bentley,Continental Super,2012,JTDKDTB33F1714245,$7739.69
Pontiac,Firefly,1984,1FTEW1CM2DK207022,$1253.49
Mitsubishi,Endeavor,2008,1G6DM57N130261911,$4961.49
Volvo,V70,1999,WAUEG78E46A790722,$8312.62
Pontiac,Grand Am,2002,JM1NC2LFXE0702200,$1653.95
Saturn,Outlook,2008,5N1AN0NW8EN122713,$4499.82
Lincoln,Town Car,1990,WAUDGAFL2AA175699,$2934.90
Aston Martin,Rapide,2010,KM8NU4CC1BU164842,$2566.27
Nissan,Pathfinder,1992,KMHHT6KD3AU984618,$4040.61
Lotus,Esprit,1997,WAULD54B74N518977,$6439.68
Maybach,Landaulet,2012,KNAFU6A2XB5873128,$4757.97
Chevrolet,Camaro,1972,3G5DB03E23S017552,$4941.58
Mitsubishi,Lancer Evolution,2011,5TDDK3DC1CS773627,$3785.68
Ford,Taurus,1998,JN8AZ1MU2EW824586,$4868.64
Dodge,Neon,1999,5UXWX9C5XD0122046,$2931.84
Ford,Bronco,1994,WVGAV7AX0BW934388,$8398.50
Volkswagen,New Beetle,2002,WBANA73594B565339,$9053.12
Pontiac,Grand Am,1985,3VW1K7AJ8BM506476,$2574.31
Mitsubishi,L300,1987,KMHHT6KD3CU609752,$6998.90
Buick,Century,1990,4T1BK3DB4BU617635,$2355.63
Lexus,SC,2004,1G6KD57Y66U472570,$6507.83
Hyundai,Scoupe,1995,SCBBR9ZA4CC830808,$7271.88
Eagle,Summit,1993,1G6DJ5EG8A0731541,$5790.97
Mercury,Mountaineer,2010,1C6RD7MT6CS052533,$8015.21
Lexus,RX Hybrid,2010,WBA6B4C52FD591367,$707.68
Lincoln,Town Car,1999,WAUJGBFC2DN782112,$2332.18
Volkswagen,GTI,1990,WAUK2AFDXFN720708,$6260.63
Scion,xA,2005,3N1AB6APXCL013362,$1566.50
Mitsubishi,Eclipse,2007,1N4AB7AP0DN914671,$563.61
Mitsubishi,Chariot,1996,JN1AZ4EH6EM608978,$9977.94
Porsche,911,2012,2C3CCADT5CH685311,$3261.65
Mitsubishi,Diamante,1993,WBY2Z2C59FV501500,$7183.77
Mercury,Cougar,2002,1GTN1TEX8BZ518639,$5419.06
Cadillac,Escalade ESV,2008,WBAEN33482P626202,$8637.54
GMC,Envoy XL,2004,WAUFMAFC4EN623411,$5819.61
Suzuki,SX4,2010,WAUCH74F89N723606,$653.68
Jeep,Patriot,2012,2C4JRGAG4ER882964,$5849.16
Chevrolet,Tahoe,1995,3N1BC1AP1AL729925,$1641.85
GMC,Yukon XL 1500,2012,WDBWK5EA9BF752426,$1841.41
Lincoln,Town Car,1988,1G6DK8EV5A0086487,$2394.03
Mercury,Mariner,2010,3N1CE2CP5FL820494,$8482.84
Toyota,Highlander,2011,WBAUT9C55BA703253,$5496.39
Toyota,Land Cruiser,2002,1FTEX1CM5BF722793,$6435.88
Lexus,GS,1999,WA1LMBFE6CD780304,$3563.04
Ford,F350,1996,1G6DN56S850278728,$6874.74
Volvo,S60,2003,2G4WE587571466687,$8846.75
Ford,E-Series,2009,1FMJK1H58DE203403,$4682.64
Dodge,Ram Wagon B250,1994,WAUVT68E45A649895,$551.44
Eagle,Talon,1998,1GD11XEG5FF314339,$4665.61
Austin,Mini,1959,WAUVT64B54N242736,$1606.92
Mercedes-Benz,SL-Class,2002,WUARL48H38K221563,$7104.05
Audi,A8,2012,3D73M4EL7AG595153,$3364.36
Volkswagen,Jetta III,1994,5N1AR1NB0AC403711,$7461.96
Maybach,62,2006,JN8AE2KP0E9978405,$601.01
Ford,F250,1992,1G6DK5EG8A0640654,$3632.29
Mazda,MPV,1990,3C3CFFAR8ET917715,$5569.14
Volkswagen,Passat,2005,WBAKG7C53CE839116,$8028.18
Chevrolet,Cavalier,1998,1N6AF0KX7FN203389,$7119.00
Honda,CR-V,2007,2T1BU4EE9CC069448,$6489.04
Ford,Fairlane,1965,3GYFNJE65BS025626,$8151.97
Audi,80,1991,NM0KS6BN2AT540851,$4042.67
Chevrolet,Impala,1995,WP1AA2A20DL009116,$9790.30
Chevrolet,Lumina,2001,KNAFU5A27B5846009,$2760.02
Jaguar,XF,2012,WBA3N7C54EF619460,$2716.54
Toyota,Celica,1983,3C6TD5MT7CG999744,$2793.89
Mercedes-Benz,G-Class,2003,5J8TB4H5XEL332694,$5005.28
Ford,Escort,2001,JM1GJ1T69E1960260,$9007.35
Nissan,Sentra,2002,WAUAFAFL0DN334996,$6339.83
Chrysler,300M,2004,WBANV1C57AB938164,$3954.48
Infiniti,Q,2002,WAUSH98E26A205633,$8835.76
Mazda,Tribute,2006,2G61R5S3XF9354625,$1891.30
Aston Martin,DB9 Volante,2006,YV1902AH4D1108297,$4521.45
Kia,Spectra,2000,WBALW3C57EC140604,$3932.60
Acura,MDX,2005,1D7RE5GKXAS479584,$6166.12
Mazda,MX-6,1996,KM8NU4CC3AU494058,$7331.76
Toyota,Tacoma Xtra,2000,5TDBW5G10FS128487,$8506.93
Nissan,Sentra,1998,2C4RDGBG3ER026877,$9683.65
Pontiac,Monterey,2005,WAUFFAFM6CA623739,$4819.33
Porsche,944,1988,ZHWGU5BZXAL733255,$9323.74
Mazda,B-Series,2007,1GYUCDEF8AR698068,$8749.44
BMW,Z4,2004,3VWF17AT1FM503712,$1596.52
Audi,Cabriolet,1998,WAUGL98E26A959183,$9350.32
Mitsubishi,Cordia,1987,JTDZN3EU0FJ427977,$9981.88
Chevrolet,Corvette,1984,WAUKG58EX5A300337,$535.70
Ford,F-Series,2002,WAUJFAFH3AN600275,$2118.71
Lincoln,Continental,1989,1N6AF0KY3FN361785,$9429.31
Kia,Amanti,2008,WBAFR9C54DC943585,$9794.77
Pontiac,Grand Prix,1969,1GYEC63T53R923929,$2180.39
Porsche,944,1989,WBADW3C56DJ258545,$3472.10
Plymouth,Colt,1993,1VWAH7A36EC061340,$5348.33
Infiniti,EX,2011,WBAYB6C52FD785725,$989.65
Land Rover,Discovery,2007,3D7LP2ET3BG519233,$9728.44
Dodge,Viper,2010,5TDBY5G12DS478307,$2051.60
GMC,Yukon,1998,1D7RV1CT6AS793014,$5475.17
BMW,8 Series,1992,KL4CJBSB8DB683459,$3677.25
Mercury,Sable,1999,KNADH5A35B6905377,$4892.70
Kia,Sportage,2005,3C4PDDDG5DT744722,$4114.32
Chevrolet,Blazer,1998,JHMZF1C60ES124467,$2411.26
Lexus,LX,2008,2C3CCAAGXEH920294,$6299.38
Audi,5000S,1988,1C3CDZCBXEN290751,$2985.83
Honda,Odyssey,2010,JTDKTUD36ED191807,$6630.24
Chevrolet,Suburban 1500,2010,WAUHF78P87A716495,$8422.92
Nissan,Rogue,2011,SCBGC3ZA9EC138633,$8302.61
Land Rover,Discovery,1996,2C3CA2CV7AH551640,$8297.40
Bentley,Azure,2006,1G6DH1E34E0138654,$684.42
Pontiac,Grand Prix,1972,WBS3U9C50FJ061969,$2118.13
